direction,regime,Force,feedrate,Gfl_dB
RD,3,-1,1,5.63399818418338
RD,3,-1,1,6.212027556137478
RD,3,-1,1,9.098472872263113
RD,3,-1,1,14.58840609891448
RD,3,-1,1,7.457975482710708
RD,3,-1,1,10.061801290474541
RD,3,-1,1,7.512262387097426
RD,3,-1,1,7.418275746530565
RD,3,-1,1,6.305987696251716
RD,3,-1,1,7.17962876485986
RD,3,-1,1,8.056218019034969
RD,3,-1,1,7.055159929099215
RD,3,-1,1,6.746659881788659
RD,3,-1,1,10.036941551686311
RD,3,-1,1,7.122372090440141
RD,3,-1,1,6.450038493645103
RD,3,-1,1,6.278834906237503
RD,3,-1,1,8.490857430588115
RD,3,-1,1,7.771011108137493
RD,3,-1,1,9.444360402313237
RD,3,-1,1,8.418571471763912
RD,3,-1,1,10.654584129573674
RD,3,-1,1,8.654572736794925
RD,3,-1,1,7.482567936460018
RD,3,-1,1,6.7022736101449
RD,3,-1,1,7.950062090266794
RD,3,-1,1,6.4409544597783075
RD,3,-1,1,8.123020191781798
RD,3,-1,1,8.123318779481234
RD,3,-1,1,6.296641570680688
RD,3,-1,1,6.888314353919007
RD,3,-1,1,7.864782216463464
RD,3,-1,1,7.069855697751528
RD,3,-1,1,7.518043070107279
RD,3,-1,1,7.425797300161889
RD,3,-1,1,6.264842895300884
RD,3,-1,1,8.316382781975928
RD,3,-1,1,6.604564573303353
RD,3,-1,1,7.232134431102217
RD,3,-1,1,10.447198180789421
RD,3,-1,1,6.8673130065841015
RD,3,-1,1,7.641422704811109
RD,3,-1,1,5.589141060654388
RD,3,-1,1,8.055853845737868
RD,3,-1,1,7.131065742831719
RD,3,-1,1,7.399325951499129
RD,3,-1,1,7.5746620500018125
RD,3,-1,1,6.9812120775722875
RD,3,-1,1,5.777764372183256
RD,3,-1,1,5.823607331742089
RD,3,-1,1,6.8511867431380935
RD,3,-1,1,6.711716472774949
RD,3,-1,1,7.158030981742787
RD,3,-1,1,5.860561954333647
RD,3,-1,1,5.052173795533452
RD,3,-1,1,12.597515718902983
RD,3,-1,1,10.063800840393995
RD,3,-1,1,6.389099154547893
RD,3,-1,1,6.643641081979972
RD,3,-1,1,6.911159393738551
RD,3,-1,1,6.345597125955411
RD,3,-1,1,6.858680575823808
RD,3,-1,1,7.536991217678093
RD,3,-1,1,6.595699448566599
RD,3,-1,1,8.634945385773598
RD,3,-1,1,8.140781702346
RD,3,-1,1,8.91399603617069
RD,3,-1,1,6.91213422721404
RD,3,-1,1,7.935793986547086
RD,3,-1,1,8.424325547472673
RD,3,-1,1,6.793385011119568
RD,3,-1,1,5.840312669128576
RD,3,-1,1,6.766097110221612
RD,3,-1,1,6.505585811935575
RD,3,-1,1,7.2972672986153775
RD,3,-1,1,6.16721358405254
RD,3,-1,1,8.589203137870562
RD,3,-1,1,5.686125505214896
RD,3,-1,1,7.427658115767475
RD,3,-1,1,6.55295387217226
RD,3,-1,1,7.1660353047829695
RD,3,-1,1,5.6896425883344115
RD,3,-1,1,7.03319053049027
RD,3,-1,1,7.061852371468085
RD,3,-1,1,8.347859175532815
RD,3,-1,1,7.16647985882048
RD,3,-1,1,5.769098465788627
RD,3,-1,1,7.021582141557197
RD,3,-1,1,6.219424480286726
RD,3,-1,1,8.410178189781092
RD,3,-1,1,6.266068690874942
RD,3,-1,1,8.718000105755692
RD,3,-1,1,11.308654932388027
RD,3,-1,1,8.018506219480326
RD,3,-1,1,7.042790680564366
RD,3,-1,1,6.385285928516691
RD,3,-1,1,6.923440625659385
RD,3,-1,1,6.523690804597546
RD,3,-1,1,9.850826947810436
RD,3,-1,1,8.932683534959729
RD,3,-1,1,5.957297651052684
RD,3,-1,1,9.742124431732346
RD,3,-1,1,6.488059405229745
RD,3,-1,1,7.8793015395550015
RD,3,-1,1,7.57381112767062
RD,3,-1,1,8.235695606897906
